country,year,population,GDP
Armenia,1992-01-01,3449000,949.033
Armenia,1993-01-01,3370000,886.033
Armenia,1994-01-01,3290000,956.471
Armenia,1995-01-01,3223000,1043.54
Armenia,1996-01-01,3173000,1121.88
Armenia,1997-01-01,3138000,1172.14
Armenia,1998-01-01,3113000,1267.58
Armenia,1999-01-01,3094000,1317.74
Armenia,2000-01-01,3076000,1404.32
Armenia,2001-01-01,3060000,1548.08
Armenia,2002-01-01,3047000,1761.89
Armenia,2003-01-01,3036000,2019.98
Armenia,2004-01-01,3026000,2244.22
Armenia,2005-01-01,3015000,2571.99
Armenia,2006-01-01,3002000,2933.83
Armenia,2007-01-01,2988000,3366.16
Armenia,2008-01-01,2975000,3629.16
Armenia,2009-01-01,2966000,3136.81
Armenia,2010-01-01,2963000,3218.38
Armenia,2011-01-01,2968000,3371.67
Armenia,2012-01-01,2978000,3606.48
Armenia,2013-01-01,2992000,3710.58
Armenia,2014-01-01,3006000,3827.34
Afghanistan,1961-01-01,9165000,
Afghanistan,1962-01-01,9344000,
Afghanistan,1963-01-01,9532000,
Afghanistan,1964-01-01,9729000,
Afghanistan,1965-01-01,9935000,
Afghanistan,1966-01-01,10149000,
Afghanistan,1967-01-01,10369000,
Afghanistan,1968-01-01,10600000,
Afghanistan,1969-01-01,10850000,
Afghanistan,1970-01-01,11121000,
Afghanistan,1971-01-01,11413000,
Afghanistan,1972-01-01,11717000,
Afghanistan,1973-01-01,12023000,
Afghanistan,1974-01-01,12316000,
Afghanistan,1975-01-01,12583000,
Afghanistan,1976-01-01,12831000,
Afghanistan,1977-01-01,13056000,
Afghanistan,1978-01-01,13223000,
Afghanistan,1979-01-01,13283000,
Afghanistan,1980-01-01,13211000,
Afghanistan,1981-01-01,12997000,
Afghanistan,1982-01-01,12667000,
Afghanistan,1983-01-01,12279000,
Afghanistan,1984-01-01,11913000,
Afghanistan,1985-01-01,11630000,
Afghanistan,1986-01-01,11439000,
Afghanistan,1987-01-01,11338000,
Afghanistan,1988-01-01,11376000,
Afghanistan,1989-01-01,11608000,
Afghanistan,1990-01-01,12068000,
Afghanistan,1991-01-01,12789000,
Afghanistan,1992-01-01,13746000,
Afghanistan,1993-01-01,14824000,
Afghanistan,1994-01-01,15870000,
Afghanistan,1995-01-01,16773000,
Afghanistan,1996-01-01,17482000,
Afghanistan,1997-01-01,18034000,
Afghanistan,1998-01-01,18511000,
Afghanistan,1999-01-01,19038000,
Afghanistan,2000-01-01,19702000,
Afghanistan,2001-01-01,20531000,
Afghanistan,2002-01-01,21487000,364.57099999999997
Afghanistan,2003-01-01,22507000,376.759
Afghanistan,2004-01-01,23500000,364.095
Afghanistan,2005-01-01,24400000,389.416
